_id,artist_name,danceability,duration_ms,genre,loudness,popularity,track_name
_id,artist_name,danceability,duration_ms,genre,loudness,popularity,b'gAAAAABjkoCaXR2NRzE7W0mLh7y8oADbCvEZ7RebkAgrcfF8XOp9WjeK-ImVdMysqSmGao1ozhJWHSNKI-rjZS4IWZnb3IzeTA=='
6391ea673ce0404724678dcb,Henri Salvador,0.389,99373,Movie,-1.828,0,b'gAAAAABjkoCaCq0l07YYtvFOHi076ymxp3nqyC-NK4mHV3w0lqhifdUaLzmXF7p4f-AR_NJtTVzx3LgfDcEHbZDaVT6ZELG5r-G8_CRLjY9-wStKegMC7Gk='
6391ea673ce0404724678dcc,Martin & les f̩es,0.59,137373,Movie,-5.559,1,b'gAAAAABjkoCaRcl9rYjjJyrRFPOpbWSrzl34CqJgGzYbDXTLZwRmXdX1uY0oDiplVUAnTIVSjwQNnuvZuJgaBJQLsL0h9xfAO920JUWPTWU8uBGWFr_vm3kiuvCVei9eYsvTbWyFVj0-'
6391ea673ce0404724678dcd,Joseph Williams,0.663,170267,Movie,-13.879,3,b'gAAAAABjkoCaDO8OERJgqgrfAce1zGQBaQhPuPqyHQZcr4-IE-0GGwZs67rOs0Inx4SKHjJWNLnMQwWjenaY0fDMFnEchUWEecJADefyna1tTftAsBPIwsY='
6391ea673ce0404724678dce,Henri Salvador,0.24,152427,Movie,-12.178,0,b'gAAAAABjkoCaExteC-2_Nny5KRi9qGgWEha1n0cixGYx5voFEzOu_zcI_3PAdFH6TqardynTAAH3hXUCHsTfPyQsuBIxzcyNIbYhUpWI0CIfdaXRGrxDwVM='
6391ea673ce0404724678dcf,Fabien Nataf,0.331,82625,Movie,-21.15,4,b'gAAAAABjkoCad34cApB27dRAN_Bj3NbKnpEcD19T7uEy9XUq_lR2_xmDrQaM0qGbGCqUkIn3gHWyrhoPZ3XtLVWk0QrARW_gYA=='
6391ea673ce0404724678dd0,Henri Salvador,0.578,160627,Movie,-14.97,0,b'gAAAAABjkoCabVX5mh2iSAigEwcw-AY6pK-LMw8pZOVDzp1fghPCTOVd7X2tzi2E0srxFOQHneS5LgwQVvnSC4mKSqae7SrZAKP6xVLe1RaoCae2XBHCaaQ='
6391ea673ce0404724678dd1,Martin & les f̩es,0.703,212293,Movie,-12.675,2,b'gAAAAABjkoCau42mQhuh5pIBQ9l4drSNT6bn7whlDPxUBYekhVX86R3pbNqrIV_j5TUBo6fjWUpxuVJk8bq-iC1Oh1c6RjtP8l0_m8g2VOOBtI4O0UMJP61mFBmXUPJLzrM9z6sw1AjqGkNzRXpS9oaVFz6atVl-BCWCaVnASH0IQjVR7-rMHnTdL8pdCXtd2zRpaqkGk3JIwu_8Ss5f334hByDEtLuS-kSsPhO-eVueRWtQvJH3s5g='
6391ea673ce0404724678dd2,Laura Mayne,0.416,240067,Movie,-8.949,15,b'gAAAAABjkoCa6ue9tYGiVaD3YvOrovd8GJ7l214-okAfyI_X0KjHLxvIuhzQ5vYviV24PJpt6BUKDAcB9cdhyqIGkFB8w6aQqg=='
6391ea673ce0404724678dd3,Chorus,0.734,226200,Movie,-7.725,0,b'gAAAAABjkoCaPchBxKFvEcsfQTXDmcPDwDHKo6d-_JB5mqbWtJ51Wx6Sc69l-n6mt58-3XkuVZJjwnXDU34LD9dv0afHnlAq_A=='
6391ea673ce0404724678dd4,Le Club des Juniors,0.598,152694,Movie,-7.79,10,b'gAAAAABjkoCaUh24AUnTYG36i6HqMwMhuiDSzgTfIZseg8h72N5XxANUlcm2k_qKtyDQ-aNijwUfkEL-QAclrIxOmmBz6OwTQtnLHrt3WwRGeAcqbpQifA0='
6391ea673ce0404724678dd5,Leopold Stokowski,0.191,566960,Movie,-17.239,0,b'gAAAAABjkoCas6pUcAMtQZ2VJBvlUuSYUEyLrCasSrMZhFCDRLnQUZGTBD3qz6zcOMx3nrVzzVCM7rLzhTgrkRv0dDE5xD3sIkfoJ00cDvsWXDa1LC8EcaCWC4FFBOISsarqAdoaAFSrH3_ASBBpSGbC1xX2r3R8eOHuUyR0xveICneR5u_a3IA='
6391ea673ce0404724678dd6,Randy Newman,0.23,121333,Movie,-19.051,2,b'gAAAAABjkoCa4or6awnZckKrtmIScb37pmB1s4wP-MCB4z1KE88VIxEFX6zpuHhuN2DcZ68Jzd-mQ29xytqVadtGKNt0lqiP2PWUgrRJz9RK_bqzDZklE1hUp-QlYiMwrY-2w5PRumPHyniHb19HDErIwKCMRMtWSGplFYtfC3qSzePvQ-RRWBg='
6391ea673ce0404724678dd7,Idoles De La Musique,0.68,213589,Movie,-7.702,4,b'gAAAAABjkoCaOnHV90qpsAdWyC-YC_XeOh4QVb9ylNrseTg9dTmmbtXkDse32LZ7WGdFSd1zcWGppc6SfQH2YXNEYdeBZzvoLJPiM0FeSynznFfowW6YFus='
6391ea673ce0404724678dd8,Chorus,0.758,308627,Movie,-11.966,3,b'gAAAAABjkoCa1OD70ukuxPMS1QIL_ID1bkLAtjKACVGrCDivxGzqOrLwuZw3WwE22Y9ukkwSfkdS0cMVH5ecYglnygPlZZjJ5g=='
6391ea673ce0404724678dd9,Richard M. Sherman,0.4,159253,Movie,-13.869,0,b'gAAAAABjkoCaI1F1BIbjgG04AG9QlS4a2fPtDdD-ubT9uEpbvlirvy9pnQgTN3ovIH3OKaahlHxFgeKpkOawiUhN42O-goJ9pQ=='
6391ea673ce0404724678dda,Michel Roux,0.588,2447870,Movie,-15.55,0,b'gAAAAABjkoCavLRHnJee_21Ea2MhJWdQ-lV3WPH9f_fDRggdG_4axqyx-4R43IeBT_81iX40GLxc--Mu7bGxA1SkrSmZykmpdsH7pGVQeV-68Txl941EBqwf7n-ZPnyy-4J7SZMOm9ue'
6391ea673ce0404724678ddb,Jean Claude Corbel,0.625,523424,Movie,-16.655,0,b'gAAAAABjkoCaCgF4YJW5aeKEUw3fex6QfsU55EDDndrQFEIra5zSWSJpl5V4CpWTxdD8LrUsbC99j2_wRcjXw-1_lM6Y2srN4w=='
6391ea673ce0404724678ddc,Bernard Minet,0.744,178107,Movie,-4.986,3,b'gAAAAABjkoCaBzWgF6rGTK_KFonhSRPuwJeEFGoB_2_7D47g1xwHRmj5DuqgU10wvH__KNf9YDrrqt0pf69tdPXFtaz9rZyDUQ=='
6391ea673ce0404724678ddd,Henri Salvador,0.451,194360,Movie,-8.73,1,b'gAAAAABjkoCal_j1pdwqCQWM2fBykkfPaonuZ3wjUgQ0tuSKffy92tQDTxHijqafE1Le3vouEXtpolDeqpCrsQp7YoknnJg5WA=='
